,Actual Speed,Goal Speed,Goal Status,Ori W,Ori X,Ori Y,Ori Z,Pos X,Pos Y,Pos Z,Time
149,4.3470473764,5.1175551849,0,0.9006295668000001,0.0057109448,-0.0049936981,0.434521382,22.6254903697,1.2887836209,0.1969680162,10.3575
150,4.304793121,5.1175551849,0,0.8984048045,0.0083031643,-0.0062044196,0.4390459769,22.7161619828,1.4037758555,0.1965490852,10.4125
151,4.3475240759,5.1175551849,0,0.8979882621,0.0045232365000000005,-0.0050368899,0.4399673296,22.8157146362,1.5340501951999999,0.1959728574,10.44
152,4.8500361852000005,6.6885762282,0,0.8996267019,0.004123913,-0.0053765008000000005,0.436607242,23.0111754669,1.7910440206,0.1964615868,10.5025
153,4.8844681307,8.7431315507,0,0.9006615822,0.00294443,-0.0081187304,0.43443541630000004,23.1013783107,1.9060731586,0.1968190173,10.555
154,5.8464222728,8.7431315507,0,0.9024542414000001,0.0043900954,-0.0080408279,0.43068830300000005,23.2041944442,2.0338587183,0.1967686268,10.5875
155,5.724260146,7.6449108335,0,0.9069921119000001,0.005548554000000001,-0.0113095122,0.4209591636,23.4419726236,2.3196408647,0.19673414150000001,10.655
156,5.7073892597,7.6449108335,0,0.9105839569,0.0036192552,-0.0059747042,0.4132651224,23.6923111798,2.6087490221,0.1966831697,10.7025
157,6.3008439336,7.6449108335,0,0.9153631859,0.0078107569,-0.0060168645,0.402508419,23.8304749034,2.7631865402,0.1969277338,10.76
158,6.1419781579,6.4684285332,0,0.9198919518,0.0016408227000000001,-0.0093775278,0.39205633100000004,24.0603175486,3.0119457033,0.1970092887,10.79
159,6.5400903788,6.4684285332,0,0.9238228547,-0.0039111773,0.0012709431,0.3827981458,24.3283619184,3.2890721171,0.19717127480000002,10.845
160,6.5400751568,6.4684285332,0,0.9245215371000001,-0.0009625856000000001,-0.0021514972,0.3811225157,24.4439181158,3.4049070537,0.1972073662,10.89
161,6.3020625494,4.2886183095,0,0.9244933059,0.0008601094,0.0029013980000000003,0.3811862661,24.6764921975,3.6342577483,0.1973614363,10.945
162,5.8918894033,4.2886183095,0,0.9279069899,-0.0058782733,0.011772082100000001,0.3725794978,25.075189899,4.0224475621,0.19708196990000001,11.005
163,6.1221139157,1.102975592,0,0.9295154552,-0.0018114036,0.008848168,0.3686725476,25.2379162626,4.1770017734,0.1974813649,11.055
164,6.6493690156,1.102975592,0,0.9288885878,-0.0019890961,0.007389992200000001,0.3702801953,25.3869961755,4.3166527932,0.19748501840000002,11.0975
165,6.2848788057,5.2037374803,0,0.9321136103000001,-0.005140939000000001,0.009242784,0.36201154560000004,25.6239566631,4.5360491344,0.1974458304,11.135
166,4.9711441894,0.0,0,0.9426490845000001,-0.012275478000000001,0.0052318991,0.3335185802,25.8817248559,4.7628783296,0.1981775576,11.205
167,5.3189498653000005,0.0,0,0.9448440217,-0.005798990600000001,0.0059593593000000005,0.32741507670000003,26.0165413167,4.8736013791,0.1981895991,11.24
168,5.0930134387,0.0,0,0.9388455921000001,0.0040771661,0.0125360626,0.3440860039,26.2924114563,5.0944065496,0.1970181353,11.2875
169,4.9531515809,0.0,0,0.9378163414,0.0009494884,0.010517861600000001,0.34697115570000003,26.5703300508,5.3348289666,0.1963893062,11.365
